minutes,tripId,route,DAY,expressArrivalTime,destArrivalTime,decision
958,095650_1..S02R,local,Tuesday,1458678121,1458678811,True
958,090550_2..S01R,express,Tuesday,1458676700,1458677315,False
958,091350_2..S01R,express,Tuesday,1458677017,1458677437,False
958,092300_2..S01R,express,Tuesday,1458677472,1458677892,False
958,092950_2..S01R,express,Tuesday,1458677854,1458678304,False
958,093800_2..S01R,express,Tuesday,1458678291,1458678741,False
958,094450_2..S01R,express,Tuesday,1458678467,1458678917,False
958,095250_2..S01R,express,Tuesday,1458678996,1458679446,False
958,094400_3..S01R,express,Tuesday,1458676685,1458677135,False
958,095300_3..S01R,express,Tuesday,1458677129,1458677549,False
959,093400_1..S02R,local,Tuesday,1458676886,1458677576,True
959,093900_1..S02R,local,Tuesday,1458677121,1458677811,True
959,094400_1..S02R,local,Tuesday,1458677435,1458678125,True
959,094900_1..S02R,local,Tuesday,1458677710,1458678400,True
959,095400_1..S07R,local,Tuesday,1458677936,1458678626,True
959,095650_1..S02R,local,Tuesday,1458678112,1458678802,True
959,090550_2..S01R,express,Tuesday,1458676752,1458677315,False
959,091350_2..S01R,express,Tuesday,1458676780,1458677452,False
959,092300_2..S01R,express,Tuesday,1458677306,1458677726,False
959,092950_2..S01R,express,Tuesday,1458677874,1458678324,False
959,093800_2..S01R,express,Tuesday,1458678258,1458678708,False
959,094450_2..S01R,express,Tuesday,1458678467,1458678917,False
959,095250_2..S01R,express,Tuesday,1458679000,1458679450,False
959,095950_2..S01R,express,Tuesday,1458679457,1458679907,False
959,095300_3..S01R,express,Tuesday,1458677137,1458677557,False
961,093400_1..S02R,local,Tuesday,1458676854,1458677584,True
961,093900_1..S02R,local,Tuesday,1458677080,1458677770,True
961,094400_1..S02R,local,Tuesday,1458677413,1458678103,True
961,094900_1..S02R,local,Tuesday,1458677731,1458678421,True
961,095400_1..S07R,local,Tuesday,1458677924,1458678614,True
961,095650_1..S02R,local,Tuesday,1458678126,1458678816,True
961,096100_1..S02R,local,Tuesday,1458678426,1458679116,True
961,090550_2..S01R,express,Tuesday,1458676844,1458677294,False
961,091350_2..S01R,express,Tuesday,1458676851,1458677452,False
961,092300_2..S01R,express,Tuesday,1458677265,1458677685,False
961,092950_2..S01R,express,Tuesday,1458677862,1458678312,False
